Provincia,Municipio,Población,Longitud ETRS89,Latitud ETRS89,Altitud
Ávila,Bonilla de la Sierra,124,-5.26499051,40.53083069,1077
Ávila,Brabos,47,-4.93950653,40.78034277,994
Ávila,Bularros,68,-4.86504123,40.72400997,1169
Ávila,Burgohondo,1225,-4.78592781,40.41614328,847
Ávila,Cabezas de Alambre,158,-4.84057883,40.94315804,900
Ávila,Cabezas del Pozo,83,-4.95481242,41.00123218,843
Ávila,Cabezas del Villar,296,-5.21188659,40.71627838,1048
Ávila,Cabizuela,94,-4.80129441,40.90118972,884
Ávila,Canales,49,-4.90117313,41.00396705,857
Ávila,Candeleda,5002,-5.23914852,40.15248281,429
Ávila,Cantiveros,115,-4.95618555,40.95192842,875
Ávila,Cardeñosa,440,-4.74363401,40.74228434,1105
Ávila,La Carrera,184,-5.55514674,40.34733577,1048
Ávila,Casas del Puerto,99,-5.19835696,40.52856873,1174
Ávila,Casasola,84,-4.82825364,40.66685716,1310
Ávila,Casavieja,1468,-4.7658077,40.27929676,538
Ávila,Casillas,650,-4.57233428,40.32320357,1012
Ávila,Castellanos de Zapardiel,95,-4.90890242,41.08471768,783
Ávila,Cebreros,3100,-4.46439928,40.45477868,755
Ávila,Cepeda la Mora,80,-5.04919741,40.45915722,1504
Ávila,Cillán,108,-4.97799497,40.70436552,1211
Ávila,Cisla,110,-5.01322747,40.96529531,853
Ávila,La Colilla,328,-4.76650196,40.64673944,1130
Ávila,Collado de Contreras,181,-4.93002136,40.8877304,917
Ávila,Collado del Mirón,35,-5.35355748,40.55448986,1166
Ávila,Constanzana,109,-4.87406351,40.93842104,890
